Country,player_id,player_name,Kicker_Foot,Kicker_Side,Goalie_Side,Outcome,goalkeeper_name,goalkeeper_id,Home_Goals,Away_Goals,Minute,Team_Type
Portugal,7.0,Clayton,R,L,R,1,João Costa,29.0,0,0,79,H
Portugal,4.0,Reisinho,L,L,R,1,Diogo Costa,21.0,0,2,34,H
Portugal,37.0,Zalazar ,R,L,L,1,Trublin,109.0,0,0,24,H
Portugal,38.0,Neto,R,R,R,1,Gabriel Batista,4.0,0,2,45,H
Portugal,31.0,Samu,R,C,L,1,Rui Enc.,30.0,1,0,69,H
Portugal,39.0,Gyokeres,R,R,L,1,Lucas França,9.0,1,2,51,A
Portugal,39.0,Gyokeres,R,L,L,1,Velho,8.0,0,1,41,A
Portugal,39.0,Gyokeres,R,L,R,1,Diogo Costa,21.0,0,0,72,H
Portugal,39.0,Gyokeres,R,R,L,1,Nico Mantl,5.0,0,1,73,A
Portugal,39.0,Gyokeres,R,R,R,1,Patrick S.,14.0,1,0,80,H
Portugal,39.0,Gyokeres,R,L,R,1,Bruno Brigiido,11.0,2,1,42,H
Portugal,39.0,Gyokeres,R,L,L,1,Kewin,7.0,0,0,12,A
Portugal,39.0,Gyokeres,R,L,L,1,Robles,12.0,2,1,90,H
Portugal,39.0,Gyokeres,R,L,R,1,Patrick S.,14.0,1,2,77,A
Portugal,39.0,Gyokeres,R,R,L,1,Lazar,16.0,1,1,64,H
Portugal,39.0,Gyokeres,R,L,L,1,João Costa,29.0,0,0,52,A
Portugal,39.0,Gyokeres,R,L,L,1,João Costa,29.0,0,2,89,A
Portugal,26.0,Y.Begraouri,R,L,L,0,Velho,8.0,0,0,15,A
Portugal,19.0,Jason ,R,L,L,0,Robles,12.0,3,1,80,A
Portugal,3.0,Safira,R,L,R,0,Andrew,1.0,2,1,90,H
Portugal,40.0,Jovane,R,L,R,0,Lucas França,9.0,0,0,57,H
Portugal,15.0,Bruma,R,R,R,0,Simao,6.0,0,1,79,A
Portugal,16.0,O. Aranda,R,L,L,0,Diogo Costa,21.0,1,1,78,H
Portugal,41.0,Nené,R,L,L,0,Lucas França,9.0,3,1,86,A
Portugal,1.0,Galeno ,R,R,L,0,Gabriel Batista,4.0,0,1,72,H
Portugal,1.0,Galeno ,R,L,L,0,Gabriel Batista,4.0,1,1,90,H
Portugal,42.0,Arthur Cabral,R,R,R,0,Marko,31.0,2,3,87,A
Portugal,28.0,Dudu ,R,L,L,0,Samuel,32.0,2,0,45,A
Portugal,43.0,T. Morais,R,L,L,0,Patrick S.,14.0,2,1,87,A
Portugal,19.0,Jason ,R,R,R,0,Lazar,16.0,0,0,26,H
Portugal,13.0,R. Pinho,L,R,R,0,Kaique,33.0,0,0,40,H
Portugal,44.0,Brian,L,R,R,0,João Costa,29.0,1,0,81,H
Portugal,26.0,Y.Begraouri,R,L,L,0,Trublin,109.0,0,2,66,H
Portugal,45.0,Rony,L,R,R,0,Varela,10.0,1,1,81,A
Portugal,46.0,Joel Tagueu,L,L,L,0,Diogo Costa,21.0,1,0,12,A
Portugal,32.0,Ze Luís,L,R,L,1,Rui Silva,20.0,0,2,71,H
Portugal,47.0,Vinícius,R,R,L,0,Varela,10.0,1,0,90,H
England,48.0,João Pedro,R,R,R,1,Kaminski,34.0,1,0,71,H
England,49.0,Morris,R,L,R,1,Steele,35.0,2,0,81,A
England,50.0,Mbeumo,L,L,R,1,Vicario,36.0,0,1,26,H
England,50.0,Mbeumo,L,L,C,1,Leno,37.0,0,1,66,A
England,51.0,Douglas L.,R,R,R,1,Pickford,38.0,1,0,24,H
England,52.0,Paqueta,L,R,L,1,Sanchez,39.0,2,1,90,H
England,53.0,Odegard,L,L,R,1,Sam ,40.0,0,0,53,A
England,54.0,Saka,L,R,L,1,Leno,37.0,0,1,70,H
England,55.0,Bruno F.,R,L,L,1,Turner,41.0,2,2,76,H
England,56.0,Haaland,L,L,R,1,Leno,37.0,3,1,70,H
England,51.0,Douglas L.,R,L,R,1,Sam ,40.0,1,1,90,H
England,57.0,Callum W.,R,R,R,1,Flekken,42.0,0,0,64,H
England,49.0,Morris,R,L,R,1,José Sá,43.0,0,1,65,H
England,54.0,Saka,L,C,L,1,Vicario,36.0,1,1,54,H
England,58.0,Salah,L,R,L,1,Areola,44.0,0,0,16,H
England,,Isak,R,R,L,1,Trafford,45.0,1,0,76,H
England,53.0,Odegard,L,L,R,1,Neto,46.0,0,1,44,A
England,60.0,Kai,L,L,R,1,Neto,46.0,0,2,53,A
England,58.0,Salah,L,L,L,1,Verbruggen,47.0,1,1,45,A
England,61.0,Palmer,L,R,L,1,Trafford,45.0,1,1,50,A
England,61.0,Palmer,L,L,L,1,Raya,48.0,0,0,15,H
England,62.0,McBrunie,R,R,R,1,André Onana,49.0,0,1,34,H
England,51.0,Douglas L.,R,C,L,1,Areola,44.0,1,0,51,H
England,58.0,Salah,L,R,C,1,Pickford,38.0,0,0,75,H
England,56.0,Haaland,L,R,L,1,André Onana,49.0,0,0,26,A
England,57.0,Callum W.,R,L,L,1,José Sá,43.0,1,1,45,A
England,63.0,Fabio Viera,L,R,L,1,Wes,50.0,3,0,88,H
England,61.0,Palmer,L,R,R,1,Vicario,36.0,1,0,35,A
England,64.0,Oliver N.,R,C,L,1,José Sá,43.0,1,1,90,H
England,65.0,Eze,R,R,C,1,Pickford,38.0,0,1,5,H
England,56.0,Haaland,L,L,R,1,Sanchez,39.0,0,0,25,A
England,61.0,Palmer,L,L,L,1,Ederson,51.0,3,4,90,H
England,66.0,Jay R.,R,C,R,1,Areola,44.0,0,0,49,H
England,67.0,Rashford,R,L,L,1,Pickford,38.0,0,1,56,A
England,68.0,Willian,R,R,L,1,José Sá,43.0,1,1,59,H
England,69.0,Hee-chang,R,C,R,1,Leno,37.0,2,1,75,A
England,48.0,João Pedro,R,L,R,1,Ody V.,52.0,1,2,58,A
England,70.0,Morgan G.,R,L,R,1,Verbruggen,47.0,1,3,73,H
England,68.0,Willian,R,L,L,1,José Sá,43.0,2,2,90,H
England,71.0,Enzo,R,C,L,1,Steele,35.0,2,1,65,H
England,50.0,Mbeumo,L,L,R,1,Steele,35.0,0,0,27,A
England,72.0,Mateta,R,C,L,1,Alisson,53.0,0,0,57,H
England,73.0,Son,R,L,L,1,Dubravaka,54.0,3,0,85,H
England,74.0,Olise,L,L,R,1,Ederson,51.0,2,1,90,A
England,48.0,João Pedro,R,L,R,1,Vicario,36.0,1,0,23,H
England,,Isak,R,R,R,1,Turner,41.0,0,0,23,H
England,75.0,Solanke,R,R,L,1,Leno,37.0,1,0,62,H
England,76.0,Alvarez,R,C,L,1,Pickford,38.0,1,1,64,A
England,48.0,João Pedro,R,R,L,1,Vicario,36.0,3,0,75,H
England,77.0,Madueke,L,L,R,1,Dean H.,55.0,1,1,89,H
England,58.0,Salah,L,L,R,1,Dubravaka,54.0,3,2,86,H
England,51.0,Douglas L.,R,C,R,1,Trafford,45.0,2,2,89,H
England,61.0,Palmer,L,R,L,1,Leno,37.0,0,0,45,H
England,78.0,James W.,R,C,L,1,Wes,50.0,1,1,79,A
England,62.0,McBrunie,R,L,L,1,Areola,44.0,1,2,90,H
England,78.0,James W.,R,C,L,1,Neto,46.0,0,1,61,H
England,79.0,Sarabia,L,C,R,1,André Onana,49.0,0,2,71,H
England,49.0,Morris,R,R,L,1,Dubravaka,54.0,2,2,59,A
England,80.0,Cunha,R,R,L,1,Petrovic,56.0,1,3,82,A
England,81.0,Grob,R,L,R,1,Vicario,36.0,0,0,17,A
England,82.0,McAtee,L,R,L,1,Kaminski,34.0,0,1,36,A
England,54.0,Saka,L,R,L,1,Areola,44.0,0,1,41,A
England,49.0,Morris,R,R,L,1,Wes,50.0,0,2,52,H
England,54.0,Saka,L,R,R,1,Trafford,45.0,0,1,41,A
England,83.0,Gordon,R,R,R,1,Neto,46.0,0,1,58,H
England,72.0,Mateta,R,R,L,1,Trafford,45.0,2,0,79,H
England,55.0,Bruno F.,R,R,R,1,Pickford,38.0,0,0,12,H
England,67.0,Rashford,R,L,R,1,Pickford,38.0,1,0,36,H
England,84.0,Mac Allister,R,L,L,1,Ederson,51.0,0,1,50,H
England,85.0,Jacob,R,L,L,1,Flekken,42.0,0,0,10,H
England,55.0,Bruno F.,R,L,R,1,Wes,50.0,1,2,61,H
England,,Isak,R,L,R,1,Areola,44.0,0,0,6,H
England,61.0,Palmer,L,C,L,1,Muric,57.0,0,0,44,H
England,,Isak,R,L,R,1,Fabianski,58.0,1,3,77,H
England,61.0,Palmer,L,R,L,1,André Onana,49.0,1,0,19,H
England,86.0,Dominic,R,L,L,1,Dubravaka,54.0,1,0,88,A
England,61.0,Palmer,L,R,L,1,André Onana,49.0,2,3,90,H
England,54.0,Saka,L,R,L,1,Verbruggen,47.0,0,0,33,A
England,79.0,Sarabia,L,R,R,1,Fabianski,58.0,0,0,33,H
England,52.0,Paqueta,L,R,R,1,José Sá,43.0,1,0,63,A
England,58.0,Salah,L,L,R,1,André Onana,49.0,2,1,84,A
England,61.0,Palmer,L,R,L,1,Pickford,38.0,4,0,64,H
England,55.0,Bruno F.,R,R,L,1,Neto,46.0,2,1,65,A
England,56.0,Haaland,L,L,R,1,Kaminski,34.0,2,0,76,H
England,75.0,Solanke,R,L,L,1,Martinez,,0,0,31,A
England,56.0,Haaland,L,L,R,1,Vicario,36.0,0,1,90,A
England,,Isak,R,R,C,1,Wes,50.0,2,1,61,H
England,87.0,Amdouni,R,R,L,1,André Onana,49.0,1,0,87,A
