date,season,matchday,goalkeeper,penaltytaker,homegame,result,minute,goaldiff,gkclub,ptclub,gkage,ptage,gkexp,ptexp
-2107.0,63/64,18.0,"Danner1, Volker","Moll, Jürgen",1.0,gehalten,54.0,0.0,1.FC Saarbrücken,Eintracht Braunschweig,21.0,24.0,0.0,2.0
-2107.0,63/64,18.0,"Danner1, Volker","Moll, Jürgen",1.0,Tor,72.0,-1.0,1.FC Saarbrücken,Eintracht Braunschweig,21.0,24.0,0.0,2.0
-2161.0,63/64,19.0,"Jäcker, Hans","Witlatschil, Gustav",1.0,Tor,65.0,-2.0,Eintracht Braunschweig,Karlsruher SC,31.0,28.0,2.0,1.0
-2161.0,63/64,19.0,"Kwiatkowski, Heinz","Steinmann, Heinz",1.0,vorbei,63.0,1.0,Borussia Dortmund,1.FC Saarbrücken,37.0,26.0,2.0,2.0
-2161.0,63/64,19.0,"Loy, Egon","Seeler, Uwe",2.0,Pfosten,58.0,-1.0,Eintracht Frankfurt,Hamburger SV,32.0,27.0,1.0,2.0
-2161.0,63/64,19.0,"Manglitz, Manfred","Rühl, Karl-Heinz",1.0,vorbei,36.0,-1.0,Meidericher SV,Hertha BSC,23.0,24.0,1.0,2.0
-2147.0,63/64,20.0,"Danner1, Volker","Strehl, Heinz",1.0,Tor,29.0,0.0,1.FC Saarbrücken,1.FC Nürnberg,21.0,25.0,0.0,1.0
-2147.0,63/64,20.0,"Strich, Horst-Dieter","Brunnenmeier, Rudi",2.0,Tor,51.0,1.0,1.FC Kaiserslautern,TSV 1860 München,22.0,23.0,0.0,1.0
-2147.0,63/64,20.0,"Bernard, Günter","Nolden, Ludwig",1.0,Tor,70.0,0.0,SV Werder Bremen,Meidericher SV,24.0,28.0,0.0,2.0
-2147.0,63/64,20.0,"Jäcker, Hans","Huberts, Wilhelm",2.0,Tor,28.0,0.0,Eintracht Braunschweig,Eintracht Frankfurt,31.0,26.0,2.0,0.0
-2140.0,63/64,21.0,"Schumacher1, Toni","Schütz1, Arnold",1.0,Tor,45.0,0.0,1.FC Köln,SV Werder Bremen,25.0,29.0,2.0,2.0
-2140.0,63/64,21.0,"Strich, Horst-Dieter","Bockisch, Klaus",1.0,Tor,48.0,0.0,1.FC Kaiserslautern,Preußen Münster,22.0,25.0,0.0,2.0
-2140.0,63/64,21.0,"Sawitzki, Günter","Vollmar, Heinz",1.0,drüber,62.0,0.0,VfB Stuttgart,1.FC Saarbrücken,31.0,27.0,1.0,0.0
-2126.0,63/64,23.0,"Schnarr, Wolfgang","Witlatschil, Gustav",1.0,Tor,14.0,0.0,1.FC Kaiserslautern,Karlsruher SC,22.0,28.0,0.0,1.0
-2126.0,63/64,23.0,"Jäcker, Hans","Schütz1, Arnold",1.0,Tor,85.0,2.0,Eintracht Braunschweig,SV Werder Bremen,31.0,29.0,2.0,2.0
-2126.0,63/64,23.0,"Tillich, Wolfgang","Wosab, Reinhold",2.0,vorbei,12.0,0.0,Hertha BSC,Borussia Dortmund,24.0,26.0,0.0,1.0
-2119.0,63/64,24.0,"Ewert, Fritz","Nolden, Ludwig",1.0,Tor,17.0,-1.0,1.FC Köln,Meidericher SV,27.0,28.0,2.0,2.0
-2119.0,63/64,24.0,"Manglitz, Manfred","Sturm, Hans",2.0,gehalten,36.0,2.0,Meidericher SV,1.FC Köln,24.0,28.0,1.0,2.0
-2119.0,63/64,24.0,"Wabra, Roland","Neumann, Jürgen",1.0,Tor,7.0,0.0,1.FC Nürnberg,1.FC Kaiserslautern,28.0,22.0,1.0,0.0
-2119.0,63/64,24.0,"Mühlmann, Horst","Schütz1, Arnold",1.0,gehalten,89.0,-1.0,FC Schalke 04,SV Werder Bremen,24.0,29.0,1.0,2.0
-2098.0,63/64,26.0,"Mühlmann, Horst","Beyer, Harald",1.0,vorbei,70.0,-1.0,FC Schalke 04,Hertha BSC,24.0,24.0,1.0,2.0
-2098.0,63/64,26.0,"Sawitzki, Günter","Strehl, Heinz",1.0,Pfosten,18.0,0.0,VfB Stuttgart,1.FC Nürnberg,31.0,25.0,1.0,1.0
-2098.0,63/64,26.0,"Ewert, Fritz","Kreuz1, Ernst",1.0,Tor,41.0,0.0,1.FC Köln,Hamburger SV,27.0,23.0,2.0,1.0
-2098.0,63/64,26.0,"Bernard, Günter","Huberts, Wilhelm",1.0,Tor,86.0,-5.0,SV Werder Bremen,Eintracht Frankfurt,24.0,26.0,0.0,0.0
-2091.0,63/64,27.0,"Bernard, Günter","Witlatschil, Gustav",2.0,gehalten,20.0,0.0,SV Werder Bremen,Karlsruher SC,24.0,28.0,0.0,1.0
-2084.0,63/64,28.0,"Bernard, Günter","Hesse, Werner",1.0,Tor,42.0,0.0,SV Werder Bremen,1.FC Saarbrücken,24.0,30.0,0.0,0.0
-2077.0,63/64,29.0,"Schnarr, Wolfgang","Sturm, Hans",2.0,Tor,28.0,1.0,1.FC Kaiserslautern,1.FC Köln,22.0,28.0,0.0,2.0
-2061.0,63/64,30.0,"Schnarr, Wolfgang","Nolden, Ludwig",1.0,Tor,63.0,-1.0,1.FC Kaiserslautern,Meidericher SV,23.0,28.0,0.0,2.0
-2061.0,63/64,30.0,"Bernard, Günter","Brunnenmeier, Rudi",1.0,Tor,79.0,0.0,SV Werder Bremen,TSV 1860 München,24.0,23.0,0.0,1.0
-1958.0,64/65,1.0,"Schnoor1, Horst","Arnold, Hans",2.0,Tor,15.0,-1.0,Hamburger SV,VfB Stuttgart,30.0,23.0,3.0,1.0
-1951.0,64/65,2.0,"Manglitz, Manfred","Neumann, Jürgen",2.0,Tor,82.0,3.0,Meidericher SV,1.FC Kaiserslautern,24.0,22.0,2.0,1.0
-1951.0,64/65,2.0,"Strick, Gerhard","Arnold, Hans",1.0,Pfosten,31.0,0.0,1.FC Nürnberg,VfB Stuttgart,27.0,23.0,1.0,1.0
-1944.0,64/65,3.0,"Bernard, Günter","Huberts, Wilhelm",1.0,gehalten,60.0,2.0,SV Werder Bremen,Eintracht Frankfurt,24.0,26.0,1.0,1.0
-1944.0,64/65,3.0,"Manglitz, Manfred","Moll, Jürgen",1.0,gehalten,64.0,1.0,Meidericher SV,Eintracht Braunschweig,24.0,24.0,2.0,3.0
-1937.0,64/65,4.0,"Paul1, Manfred","Schütz1, Arnold",1.0,Tor,62.0,0.0,Karlsruher SC,SV Werder Bremen,26.0,29.0,2.0,3.0
-1937.0,64/65,4.0,"Schnoor1, Horst","May, Elmar",1.0,Tor,37.0,0.0,Hamburger SV,Borussia Neunkirchen,30.0,25.0,3.0,0.0
-1937.0,64/65,4.0,"Jäcker, Hans","Herrmann, Günter",1.0,vorbei,30.0,0.0,Eintracht Braunschweig,FC Schalke 04,31.0,25.0,3.0,2.0
-1937.0,64/65,4.0,"Ewert, Fritz","Arnold, Hans",1.0,gehalten,44.0,0.0,1.FC Köln,VfB Stuttgart,27.0,23.0,3.0,1.0
-1937.0,64/65,4.0,"Strich, Horst-Dieter","Brunnenmeier, Rudi",1.0,vorbei,69.0,0.0,1.FC Kaiserslautern,TSV 1860 München,23.0,23.0,1.0,2.0
-1930.0,64/65,5.0,"Loy, Egon","Witlatschil, Gustav",2.0,Tor,53.0,-5.0,Eintracht Frankfurt,Karlsruher SC,33.0,28.0,2.0,2.0
-1930.0,64/65,5.0,"Loy, Egon","Witlatschil, Gustav",2.0,Tor,84.0,-6.0,Eintracht Frankfurt,Karlsruher SC,33.0,28.0,2.0,2.0
-1930.0,64/65,5.0,"Paul1, Manfred","Huberts, Wilhelm",1.0,gehalten,87.0,7.0,Karlsruher SC,Eintracht Frankfurt,26.0,26.0,2.0,1.0
-1909.0,64/65,7.0,"Paul1, Manfred","Reisch, Stefan",1.0,Tor,40.0,-1.0,Karlsruher SC,1.FC Nürnberg,26.0,22.0,2.0,2.0
-1909.0,64/65,7.0,"Paul1, Manfred","Strehl, Heinz",1.0,Latte,69.0,-2.0,Karlsruher SC,1.FC Nürnberg,26.0,26.0,2.0,2.0
-1902.0,64/65,8.0,"Manglitz, Manfred","Hoffmann3, Theodor",2.0,Tor,58.0,-1.0,Meidericher SV,VfB Stuttgart,24.0,24.0,2.0,2.0
-1902.0,64/65,8.0,"Jäcker, Hans","Straschitz, Hermann",2.0,Latte,89.0,-1.0,Eintracht Braunschweig,Borussia Dortmund,32.0,24.0,3.0,3.0
-1895.0,64/65,9.0,"Jäcker, Hans","Reisch, Stefan",1.0,Tor,55.0,2.0,Eintracht Braunschweig,1.FC Nürnberg,32.0,22.0,3.0,2.0
-1895.0,64/65,9.0,"Jäcker, Hans","Reisch, Stefan",1.0,gehalten,35.0,2.0,Eintracht Braunschweig,1.FC Nürnberg,32.0,22.0,3.0,2.0
-1881.0,64/65,10.0,"Podlasly, Horst","Nolden, Ludwig",1.0,Tor,8.0,0.0,Hannover 96,Meidericher SV,28.0,29.0,3.0,3.0
-1881.0,64/65,10.0,"Ewert, Fritz","Neumann, Jürgen",1.0,Tor,58.0,2.0,1.FC Köln,1.FC Kaiserslautern,27.0,23.0,3.0,1.0
-1874.0,64/65,11.0,"Strich, Horst-Dieter","Rehhagel, Otto",1.0,Tor,45.0,-3.0,1.FC Kaiserslautern,Hertha BSC,23.0,26.0,1.0,1.0
-1874.0,64/65,11.0,"Krumnow, Hans-Jürgen","Kapitulski, Helmut",2.0,Tor,90.0,3.0,Hertha BSC,1.FC Kaiserslautern,21.0,30.0,1.0,0.0
